* Block Type = 96well
* Chemistry = SYBR_GREEN
* Experiment File Name = D:\Documents and Settings\Talaat\Desktop\Zamanian\Nic\20191023.eds
* Experiment Run End Time = 2019-10-23 13:53:42 PM CDT
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Tm1	Tm2	Tm3	Comments	HIGHSD	EXPFAIL
F2	ZAM13C	Y45F10D.4	UNKNOWN	SYBR	None	23.7326	23.7243	0.0117				true	0.4765	true	3	17	82.7982				N	N
F3	ZAM14A	Y45F10D.4	UNKNOWN	SYBR	None	24.3925	24.3009	0.1295				true	0.4765	true	3	18	81.6998				N	N
F4	ZAM14A	Y45F10D.4	UNKNOWN	SYBR	None	24.2093	24.3009	0.1295				true	0.4765	true	3	17	83.1691				N	N
F5	ZAM14B	Y45F10D.4	UNKNOWN	SYBR	None	24.0139	23.9892	0.0348				true	0.4765	true	3	17	83.3435				N	N
F6	ZAM14B	Y45F10D.4	UNKNOWN	SYBR	None	23.9646	23.9892	0.0348				true	0.4765	true	3	17	82.1581				N	N
F7	ZAM14C	Y45F10D.4	UNKNOWN	SYBR	None	23.8699	23.7223	0.2087				true	0.4765	true	3	17	82.3595				N	N
F8	ZAM14C	Y45F10D.4	UNKNOWN	SYBR	None	23.5747	23.7223	0.2087				true	0.4765	true	3	17	83.8246				N	N
F9	ZAM17A	Y45F10D.4	UNKNOWN	SYBR	None	23.5065	23.5557	0.0697				true	0.4765	true	3	17	82.7158				N	N
F10	ZAM17A	Y45F10D.4	UNKNOWN	SYBR	None	23.605	23.5557	0.0697				true	0.4765	true	3	17	82.8589				N	N
F11																					N	N
F12																					N	N
G1	ZAM17B	Y45F10D.4	UNKNOWN	SYBR	None	24.1328	23.9634	0.2396				true	0.4765	true	3	17	81.3256				N	N
G2	ZAM17B	Y45F10D.4	UNKNOWN	SYBR	None	23.794	23.9634	0.2396				true	0.4765	true	3	17	82.7899				N	N
G3	ZAM17C	Y45F10D.4	UNKNOWN	SYBR	None	23.765	23.7856	0.0291				true	0.4765	true	3	17	83.0344				N	N
G4	ZAM17C	Y45F10D.4	UNKNOWN	SYBR	None	23.8061	23.7856	0.0291				true	0.4765	true	3	17	81.8345				N	N
G5																					N	N
G6																					N	N
G7		OSM-9	NTC	SYBR	None	Undetermined						true	0.2541	true	3	39	61.2562				N	N
G8		TAX-4	NTC	SYBR	None	Undetermined						true	0.1533	true	3	39	61.38				N	N
G9		OCR-1/2a	NTC	SYBR	None	Undetermined						true	0.0086	true	3	39	61.6186				N	N
G10		Y45F10D.4	NTC	SYBR	None	Undetermined						true	0.4765	true	3	39	61.745				N	N
G11																					N	N
G12																					N	N
H1																					N	N
H2																					N	N
H3																					N	N
H4																					N	N
H5																					N	N
H6																					N	N
H7																					N	N
H8																					N	N
H9																					N	N
H10																					N	N
H11																					N	N
H12																					N	N
