"Species","Transcript_ID","Family","Superfamily"
"panagrellus_redivivus","Pan_g18281.t1","four","Str"
"strongyloides_ratti","SRAE_1000230900","srm","Str"
"ascaris_suum","AgR049_g049_t03","three_four","Str"
"strongyloides_ratti","SRAE_2000459500","three_four","Str"
"pristionchus_pacificus","PPA33388","srj","Str"
"haemonchus_contortus","HCON_00191860","srj","Str"
"nippostrongylus_brasiliensis","NBR_0000839601","srj","Str"
"caenorhabditis_elegans","Y45G12A.1","srj","Str"
"caenorhabditis_elegans","M01D1.1a","str","Str"
"nippostrongylus_brasiliensis","NBR_0000785701","srw","Solo"
"pristionchus_pacificus","PPA03842","srxa","Srg"
"ancylostoma_caninum","ANCCAN_19447","srbc","Solo"
"romanomermis_culicivorax","nRc.2.0.1.t05024","srsx","Solo"
"panagrellus_redivivus","Pan_g13069.t1","sro","Solo"
"haemonchus_contortus","HCON_00062610","sro","Solo"
"caenorhabditis_elegans","Y7A9C.7","srz","Solo"
"panagrellus_redivivus","Pan_g19628.t1","srv","Srg"
"caenorhabditis_elegans","F48D6.2b","srv","Srg"
"panagrellus_redivivus","Pan_g19694.t1","srv","Srg"
"strongyloides_ratti","SRAE_2000457800","srv","Srg"
"pristionchus_pacificus","PPA38907","srv","Srg"
"panagrellus_redivivus","Pan_g21548.t1","sru","Srg"
"caenorhabditis_elegans","F15A4.7","srg","Srg"
"caenorhabditis_elegans","T05B11.2","srr","Solo"
"caenorhabditis_elegans","F36H9.6","srt","Srg"
"caenorhabditis_elegans","K07C6.7","srx","Srg"
"pristionchus_pacificus","PPA40851","srb","Sra"
"caenorhabditis_elegans","W05H5.8","sre","Sra"
"caenorhabditis_elegans","AH6.7","sra","Sra"
"panagrellus_redivivus","Pan_g3045.t1","srab","Sra"
"pristionchus_pacificus","PPA08497","srn","Str"
"rhabditophanes_kr3021","RSKR_0000878250.1","srh","Str"
"panagrellus_redivivus","Pan_g7018.t1","srh","Str"
"panagrellus_redivivus","Pan_g9119.t1","srh","Str"
"caenorhabditis_elegans","F57G8.1","srh","Str"
"pristionchus_pacificus","PPA42721","sri","Str"
"caenorhabditis_elegans","R186.2a","srd","Str"
"panagrellus_redivivus","Pan_g14195.t1","four","Str"
"meloidogyne_hapla","MhA1_Contig1957.frz3.gene6","four","Str"
"panagrellus_redivivus","Pan_g475.t1","four","Str"
"panagrellus_redivivus","Pan_g23591.t2","four","Str"
"panagrellus_redivivus","Pan_g12993.t1","four","Str"
"rhabditophanes_kr3021","RSKR_0000548550.1","four","Str"
"strongyloides_ratti","SRAE_1000315500","srm","Str"
"ascaris_suum","AgR049_g049_t02","three_four","Str"
"strongyloides_ratti","SRAE_2000474400","three_four","Str"
"pristionchus_pacificus","PPA42748","srj","Str"
"haemonchus_contortus","HCON_00099976","srj","Str"
"pristionchus_pacificus","PPA06260","srj","Str"
"caenorhabditis_elegans","F37B4.11","srj","Str"
"caenorhabditis_elegans","T03E6.1","str","Str"
"ancylostoma_caninum","ANCCAN_02754","srw","Solo"
"caenorhabditis_elegans","C08B6.12","srxa","Srg"
"haemonchus_contortus","HCON_00131480","srbc","Solo"
"romanomermis_culicivorax","nRc.2.0.1.t19102","srsx","Solo"
"haemonchus_contortus","HCON_00164890","sro","Solo"
"dictyocaulus_viviparus","DICVIV_10558","sro","Solo"
"caenorhabditis_elegans","C35D6.9a","srz","Solo"
"pristionchus_pacificus","PPA01501","srv","Srg"
"caenorhabditis_elegans","C52B9.5","srv","Srg"
"panagrellus_redivivus","Pan_g15279.t1","srv","Srg"
"rhabditophanes_kr3021","RSKR_0000262733.1","srv","Srg"
"pristionchus_pacificus","PPA15502","srv","Srg"
"panagrellus_redivivus","Pan_g11205.t1","sru","Srg"
"caenorhabditis_elegans","F15A4.4","srg","Srg"
"caenorhabditis_elegans","T05B11.6","srr","Solo"
"caenorhabditis_elegans","C24B9.5","srt","Srg"
"caenorhabditis_elegans","C03G6.2","srx","Srg"
"caenorhabditis_elegans","F01D4.7","srb","Sra"
"caenorhabditis_elegans","W05H5.5","sre","Sra"
"caenorhabditis_elegans","AH6.8","sra","Sra"
"panagrellus_redivivus","Pan_g3060.t1","srab","Sra"
"caenorhabditis_elegans","K12B6.5","srn","Str"
"panagrellus_redivivus","Pan_g4637.t1","srh","Str"
"panagrellus_redivivus","Pan_g15059.t1","srh","Str"
"caenorhabditis_elegans","D1054.12","srh","Str"
"pristionchus_pacificus","PPA40012","sri","Str"
"caenorhabditis_elegans","R04D3.7","srd","Str"
"panagrellus_redivivus","Pan_g14198.t1","four","Str"
"panagrellus_redivivus","Pan_g20905.t1","four","Str"
"panagrellus_redivivus","Pan_g12854.t1","four","Str"
"rhabditophanes_kr3021","RSKR_0001182350.1","four","Str"
"strongyloides_ratti","SRAE_2000507650","srm","Str"
"toxocara_canis","Tcan_09425.1","three_four","Str"
"strongyloides_ratti","SRAE_0000000250","three_four","Str"
"pristionchus_pacificus","PPA41705","srj","Str"
"haemonchus_contortus","HCON_00099974","srj","Str"
"pristionchus_pacificus","PPA40420","srj","Str"
"caenorhabditis_elegans","T03D3.14","srj","Str"
"caenorhabditis_elegans","T03E6.4","str","Str"
"ascaris_suum","AgR010_g336_t01","srw","Solo"
"caenorhabditis_elegans","F44G3.5","srxa","Srg"
"toxocara_canis","Tcan_17892.1","srbc","Solo"
"romanomermis_culicivorax","nRc.2.0.1.t47897","srsx","Solo"
"nippostrongylus_brasiliensis","NBR_0000934501","sro","Solo"
"caenorhabditis_elegans","C35D6.10","srz","Solo"
"pristionchus_pacificus","PPA35251","srv","Srg"
"romanomermis_culicivorax","nRc.2.0.1.t09889","srv","Srg"
"panagrellus_redivivus","Pan_g19700.t1","srv","Srg"
"strongyloides_ratti","SRAE_2000399900","srv","Srg"
"pristionchus_pacificus","PPA19285","srv","Srg"
"panagrellus_redivivus","Pan_g21542.t1","sru","Srg"
"caenorhabditis_elegans","C18F10.4","srg","Srg"
"caenorhabditis_elegans","K11D12.3a","srr","Solo"
"caenorhabditis_elegans","R08F11.2","srt","Srg"
"caenorhabditis_elegans","K07C6.11a","srx","Srg"
"caenorhabditis_elegans","C54F6.7","srb","Sra"
"caenorhabditis_elegans","W05H5.7","sre","Sra"
"caenorhabditis_elegans","AH6.14","sra","Sra"
"panagrellus_redivivus","Pan_g15311.t1","srab","Sra"
"panagrellus_redivivus","Pan_g14210.t1","srn","Str"
"panagrellus_redivivus","Pan_g14808.t1","srh","Str"
"panagrellus_redivivus","Pan_g7738.t1","srh","Str"
"caenorhabditis_elegans","ZK228.8","srh","Str"
"pristionchus_pacificus","PPA24779","sri","Str"
"caenorhabditis_elegans","F17A2.8","srd","Str"
"panagrellus_redivivus","Pan_g5429.t1","four","Str"
"panagrellus_redivivus","Pan_g18171.t1","four","Str"
"rhabditophanes_kr3021","RSKR_0000070250.1","four","Str"
"pristionchus_pacificus","PPA28096","srm","Str"
"toxocara_canis","Tcan_14504.1","three_four","Str"
"strongyloides_ratti","SRAE_2000420200","three_four","Str"
"pristionchus_pacificus","PPA18509","srj","Str"
"haemonchus_contortus","HCON_00099995","srj","Str"
"pristionchus_pacificus","PPA26868","srj","Str"
"caenorhabditis_elegans","Y49C4A.6","srj","Str"
"caenorhabditis_elegans","Y32B12B.5","str","Str"
"strongyloides_ratti","SRAE_X000212700","srw","Solo"
"caenorhabditis_elegans","C08B6.13","srxa","Srg"
"brugia_malayi","Bm17764","srbc","Solo"
"romanomermis_culicivorax","nRc.2.0.1.t05501","srsx","Solo"
"pristionchus_pacificus","PPA39987","sro","Solo"
"caenorhabditis_elegans","C09G12.15","srz","Solo"
"pristionchus_pacificus","PPA36441","srv","Srg"
"caenorhabditis_elegans","Y43F8C.19","srv","Srg"
"panagrellus_redivivus","Pan_g23576.t1","srv","Srg"
"strongyloides_ratti","SRAE_X000074900","srv","Srg"
"pristionchus_pacificus","PPA41222","srv","Srg"
"panagrellus_redivivus","Pan_g1115.t1","sru","Srg"
"caenorhabditis_elegans","C18F10.5","srg","Srg"
"caenorhabditis_elegans","K11D12.3b","srr","Solo"
"caenorhabditis_elegans","C24B9.4a","srt","Srg"
"caenorhabditis_elegans","R13D7.4","srx","Srg"
"haemonchus_contortus","HCON_00110190","srb","Sra"
"caenorhabditis_elegans","F57G9.1","sre","Sra"
"caenorhabditis_elegans","AH6.6","sra","Sra"
"toxocara_canis","Tcan_17184.1","srab","Sra"
"panagrellus_redivivus","Pan_g23770.t1","srn","Str"
"panagrellus_redivivus","Pan_g3177.t1","srh","Str"
"panagrellus_redivivus","Pan_g15060.t1","srh","Str"
"caenorhabditis_elegans","ZK228.7","srh","Str"
"pristionchus_pacificus","PPA13328","sri","Str"
"caenorhabditis_elegans","R04D3.9","srd","Str"
"panagrellus_redivivus","Pan_g12326.t1","four","Str"
"panagrellus_redivivus","Pan_g926.t1","four","Str"
"rhabditophanes_kr3021","RSKR_0000126666.1","four","Str"
"pristionchus_pacificus","PPA39301","srm","Str"
"ascaris_suum","AgR004_g366_t04","three_four","Str"
"rhabditophanes_kr3021","RSKR_0000024850.1","three_four","Str"
"pristionchus_pacificus","PPA21412","srj","Str"
"dictyocaulus_viviparus","DICVIV_07273","srj","Str"
"pristionchus_pacificus","PPA41498","srj","Str"
"caenorhabditis_elegans","T03D3.6","srj","Str"
"caenorhabditis_elegans","F58G4.7","str","Str"
"rhabditophanes_kr3021","RSKR_0000755400.1","srw","Solo"
"panagrellus_redivivus","Pan_g23966.t1","srxa","Srg"
"angiostrongylus_cantonensis","ACAC_0001105001","srbc","Solo"
"romanomermis_culicivorax","nRc.2.0.1.t38010","srsx","Solo"
"necator_americanus","NECAME_01558","sro","Solo"
"caenorhabditis_elegans","K03D3.12","srz","Solo"
"pristionchus_pacificus","PPA05088","srv","Srg"
"caenorhabditis_elegans","F15E6.7a","srv","Srg"
"rhabditophanes_kr3021","RSKR_0000877366.1","srv","Srg"
"pristionchus_pacificus","PPA16499","srv","Srg"
"panagrellus_redivivus","Pan_g1165.t1","sru","Srg"
"caenorhabditis_elegans","T12A2.10","srg","Srg"
"caenorhabditis_elegans","C13D9.1","srr","Solo"
"caenorhabditis_elegans","C24B9.6","srt","Srg"
"caenorhabditis_elegans","K07C6.6","srx","Srg"
"haemonchus_contortus","HCON_00125520","srb","Sra"
"caenorhabditis_elegans","Y57A10C.4","sre","Sra"
"caenorhabditis_elegans","AH6.10","sra","Sra"
"caenorhabditis_elegans","C33G8.5","srab","Sra"
"panagrellus_redivivus","Pan_g19039.t1","srh","Str"
"panagrellus_redivivus","Pan_g24184.t1","srh","Str"
"caenorhabditis_elegans","F58E10.6","srh","Str"
"pristionchus_pacificus","PPA40777","sri","Str"
"caenorhabditis_elegans","F17A2.7","srd","Str"
"panagrellus_redivivus","Pan_g924.t1","four","Str"
"rhabditophanes_kr3021","RSKR_0001041133.1","four","Str"
"dictyocaulus_viviparus","DICVIV_12195","srm","Str"
"toxocara_canis","Tcan_09966.1","three_four","Str"
"rhabditophanes_kr3021","RSKR_0000420533.1","three_four","Str"
"pristionchus_pacificus","PPA40643","srj","Str"
"necator_americanus","NECAME_15172","srj","Str"
"pristionchus_pacificus","PPA34762","srj","Str"
"caenorhabditis_elegans","T03D3.11","srj","Str"
"caenorhabditis_elegans","F58G4.6","str","Str"
"toxocara_canis","Tcan_03314.1","srw","Solo"
"rhabditophanes_kr3021","RSKR_0000816700.1","srxa","Srg"
"ascaris_suum","AgR012_g189_t04","srbc","Solo"
"romanomermis_culicivorax","nRc.2.0.1.t12449","srsx","Solo"
"syphacia_muris","SMUV_0000316901","sro","Solo"
"caenorhabditis_elegans","C09G12.6","srz","Solo"
"haemonchus_contortus","HCON_00168290","srv","Srg"
"pristionchus_pacificus","PPA04877","srv","Srg"
"rhabditophanes_kr3021","RSKR_0000877333.1","srv","Srg"
"pristionchus_pacificus","PPA35460","srv","Srg"
"panagrellus_redivivus","Pan_g19018.t1","sru","Srg"
"caenorhabditis_elegans","T12A2.9","srg","Srg"
"caenorhabditis_elegans","W07G4.6a","srr","Solo"
"caenorhabditis_elegans","F47D2.6","srt","Srg"
"caenorhabditis_elegans","K07C6.9","srx","Srg"
"ancylostoma_caninum","ANCCAN_12643","srb","Sra"
"caenorhabditis_elegans","F37B4.9","sre","Sra"
"caenorhabditis_elegans","AH6.12","sra","Sra"
"caenorhabditis_elegans","F59A7.3","srab","Sra"
"panagrellus_redivivus","Pan_g22639.t1","srh","Str"
"panagrellus_redivivus","Pan_g1119.t1","srh","Str"
"caenorhabditis_elegans","Y60A3A.6","srh","Str"
"pristionchus_pacificus","PPA36182","sri","Str"
"caenorhabditis_elegans","F17A2.10","srd","Str"
"rhabditophanes_kr3021","RSKR_0000966950.1","four","Str"
"ancylostoma_caninum","ANCCAN_07630","srm","Str"
"ascaris_suum","AgB03_g069_t01","three_four","Str"
"rhabditophanes_kr3021","RSKR_0001016950.1","three_four","Str"
"pristionchus_pacificus","PPA39417","srj","Str"
"haemonchus_contortus","HCON_00154992","srj","Str"
"pristionchus_pacificus","PPA21499","srj","Str"
"caenorhabditis_elegans","T03D3.12","srj","Str"
"caenorhabditis_elegans","F47G9.2","str","Str"
"angiostrongylus_cantonensis","ACAC_0001423101","srw","Solo"
"panagrellus_redivivus","Pan_g12112.t1","srxa","Srg"
"ascaris_suum","AgR012_g189_t01","srbc","Solo"
"trichinella_spiralis","EFV55593","srsx","Solo"
"pristionchus_pacificus","PPA00440","sro","Solo"
"caenorhabditis_elegans","C09G12.16","srz","Solo"
"necator_americanus","NECAME_01483","srv","Srg"
"pristionchus_pacificus","PPA38233","srv","Srg"
"rhabditophanes_kr3021","RSKR_0000386833.1","srv","Srg"
"pristionchus_pacificus","PPA16535","srv","Srg"
"panagrellus_redivivus","Pan_g22241.t1","sru","Srg"
"caenorhabditis_elegans","T12A2.13","srg","Srg"
"caenorhabditis_elegans","W07G4.6b","srr","Solo"
"caenorhabditis_elegans","F47D2.8","srt","Srg"
"caenorhabditis_elegans","K07C6.8","srx","Srg"
"dictyocaulus_viviparus","DICVIV_08663","srb","Sra"
"caenorhabditis_elegans","Y57A10C.3","sre","Sra"
"caenorhabditis_elegans","AH6.4","sra","Sra"
"caenorhabditis_elegans","Y40B10A.3b","srab","Sra"
"panagrellus_redivivus","Pan_g14809.t1","srh","Str"
"panagrellus_redivivus","Pan_g17298.t1","srh","Str"
"caenorhabditis_elegans","F40D4.1","srh","Str"
"pristionchus_pacificus","PPA31279","sri","Str"
"caenorhabditis_elegans","F17A2.6","srd","Str"
"rhabditophanes_kr3021","RSKR_0001084650.1","four","Str"
"caenorhabditis_elegans","T28H11.2","srm","Str"
"toxocara_canis","Tcan_04456.1","three_four","Str"
"rhabditophanes_kr3021","RSKR_0000126025.1","three_four","Str"
"pristionchus_pacificus","PPA42411","srj","Str"
"pristionchus_pacificus","PPA37434","srj","Str"
"pristionchus_pacificus","PPA29558","srj","Str"
"caenorhabditis_elegans","T02B11.5","srj","Str"
"caenorhabditis_elegans","F21F8.10","str","Str"
"pristionchus_pacificus","PPA20520","srw","Solo"
"toxocara_canis","Tcan_15017.1","srxa","Srg"
"necator_americanus","NECAME_02640","srbc","Solo"
"trichinella_spiralis","EFV50580","srsx","Solo"
"strongyloides_ratti","SRAE_1000060400","sro","Solo"
"strongyloides_ratti","SRAE_2000389700","srz","Solo"
"nippostrongylus_brasiliensis","NBR_0001622301","srv","Srg"
"toxocara_canis","Tcan_04971.1","srv","Srg"
"strongyloides_ratti","SRAE_2000432200","srv","Srg"
"pristionchus_pacificus","PPA36773","srv","Srg"
"panagrellus_redivivus","Pan_g19470.t1","sru","Srg"
"caenorhabditis_elegans","T12A2.12","srg","Srg"
"caenorhabditis_elegans","T26H2.8","srr","Solo"
"caenorhabditis_elegans","F47D2.5","srt","Srg"
"caenorhabditis_elegans","T07H8.3","srx","Srg"
"ancylostoma_caninum","ANCCAN_12644","srb","Sra"
"caenorhabditis_elegans","F15A4.1","sre","Sra"
"caenorhabditis_elegans","F44F4.5a","sra","Sra"
"caenorhabditis_elegans","Y40B10A.3a","srab","Sra"
"panagrellus_redivivus","Pan_g14812.t1","srh","Str"
"panagrellus_redivivus","Pan_g23261.t1","srh","Str"
"caenorhabditis_elegans","Y60A3A.4a","srh","Str"
"pristionchus_pacificus","PPA06654","sri","Str"
"caenorhabditis_elegans","F17A2.12","srd","Str"
"rhabditophanes_kr3021","RSKR_0000305433.1","four","Str"
"caenorhabditis_elegans","T28H11.3","srm","Str"
"toxocara_canis","Tcan_00178.1","three_four","Str"
"rhabditophanes_kr3021","RSKR_0000596266.1","three_four","Str"
"pristionchus_pacificus","PPA13315","srj","Str"
"pristionchus_pacificus","PPA41703","srj","Str"
"pristionchus_pacificus","PPA04424","srj","Str"
"caenorhabditis_elegans","F38H12.2","srj","Str"
"caenorhabditis_elegans","F21F8.9","str","Str"
"strongyloides_ratti","SRAE_X000182300","srw","Solo"
"onchocerca_volvulus","OVOC5624","srxa","Srg"
"pristionchus_pacificus","PPA15726","srbc","Solo"
"trichinella_spiralis","EFV60954","srsx","Solo"
"meloidogyne_hapla","MhA1_Contig120.frz3.gene31","sro","Solo"
"caenorhabditis_elegans","F58E2.9","srz","Solo"
"caenorhabditis_elegans","R13F6.3","srv","Srg"
"toxocara_canis","Tcan_10015.1","srv","Srg"
"rhabditophanes_kr3021","RSKR_0000839050.1","srv","Srg"
"pristionchus_pacificus","PPA05094","srv","Srg"
"panagrellus_redivivus","Pan_g22995.t1","sru","Srg"
"caenorhabditis_elegans","T12A2.11","srg","Srg"
"caenorhabditis_elegans","T01G5.4","srr","Solo"
"caenorhabditis_elegans","W04D2.2a","srt","Srg"
"caenorhabditis_elegans","T01C4.4","srx","Srg"
"haemonchus_contortus","HCON_00126110","srb","Sra"
"caenorhabditis_elegans","F15A4.3","sre","Sra"
"caenorhabditis_elegans","F44F4.5b","sra","Sra"
"caenorhabditis_elegans","T11A5.2","srab","Sra"
"panagrellus_redivivus","Pan_g14813.t1","srh","Str"
"panagrellus_redivivus","Pan_g3289.t1","srh","Str"
"caenorhabditis_elegans","Y60A3A.5","srh","Str"
"pristionchus_pacificus","PPA37146","sri","Str"
"caenorhabditis_elegans","R04D3.6","srd","Str"
"rhabditophanes_kr3021","RSKR_0000882050.1","four","Str"
"pristionchus_pacificus","PPA06082","srm","Str"
"toxocara_canis","Tcan_06528.1","three_four","Str"
"rhabditophanes_kr3021","RSKR_0000191050.1","three_four","Str"
"pristionchus_pacificus","PPA13311","srj","Str"
"pristionchus_pacificus","PPA36719","srj","Str"
"pristionchus_pacificus","PPA42466","srj","Str"
"caenorhabditis_elegans","F38H12.1","srj","Str"
"caenorhabditis_elegans","C09H5.5","str","Str"
"pristionchus_pacificus","PPA06827","srw","Solo"
"brugia_malayi","Bm4717","srxa","Srg"
"romanomermis_culicivorax","nRc.2.0.1.t06278","srbc","Solo"
"romanomermis_culicivorax","nRc.2.0.1.t09822","srsx","Solo"
"toxocara_canis","Tcan_10420.1","sro","Solo"
"caenorhabditis_elegans","C09G12.2","srz","Solo"
"romanomermis_culicivorax","nRc.2.0.1.t10653","srv","Srg"
"rhabditophanes_kr3021","RSKR_0000440833.1","srv","Srg"
"pristionchus_pacificus","PPA34624","srv","Srg"
"panagrellus_redivivus","Pan_g12991.t1","sru","Srg"
"caenorhabditis_elegans","C18F10.8","srg","Srg"
"caenorhabditis_elegans","F40G12.15","srt","Srg"
"caenorhabditis_elegans","C03A7.6","srx","Srg"
"haemonchus_contortus","HCON_00126120","srb","Sra"
"caenorhabditis_elegans","Y57A10B.4","sre","Sra"
"caenorhabditis_elegans","F35C5.2","sra","Sra"
"caenorhabditis_elegans","T11A5.3","srab","Sra"
"panagrellus_redivivus","Pan_g18482.t1","srh","Str"
"panagrellus_redivivus","Pan_g4829.t1","srh","Str"
"caenorhabditis_elegans","R08H2.3","srh","Str"
"pristionchus_pacificus","PPA41303","sri","Str"
"caenorhabditis_elegans","R04D3.12","srd","Str"
"rhabditophanes_kr3021","RSKR_0000967150.1","four","Str"
"caenorhabditis_elegans","F47B8.9a","srm","Str"
"ascaris_suum","AgR006_g153_t01","three_four","Str"
"rhabditophanes_kr3021","RSKR_0000295133.1","three_four","Str"
"pristionchus_pacificus","PPA41741","srj","Str"
"pristionchus_pacificus","PPA02373","srj","Str"
"pristionchus_pacificus","PPA46000","srj","Str"
"caenorhabditis_elegans","T03D3.2","srj","Str"
"caenorhabditis_elegans","C09H5.4","str","Str"
"trichinella_spiralis","EFV51355","srw","Solo"
"haemonchus_contortus","HCON_00120140","srxa","Srg"
"syphacia_muris","SMUV_0000421801","srbc","Solo"
"trichinella_spiralis","EFV57058","srsx","Solo"
"panagrellus_redivivus","Pan_g20030.t1","sro","Solo"
"caenorhabditis_elegans","C09G12.3","srz","Solo"
"rhabditophanes_kr3021","RSKR_0000501500.1","srv","Srg"
"rhabditophanes_kr3021","RSKR_0000440866.1","srv","Srg"
"pristionchus_pacificus","PPA35076","srv","Srg"
"panagrellus_redivivus","Pan_g12994.t2","sru","Srg"
"caenorhabditis_elegans","F26B1.6","srg","Srg"
"caenorhabditis_elegans","F40G12.8","srt","Srg"
"caenorhabditis_elegans","C03A7.5","srx","Srg"
"haemonchus_contortus","HCON_00126070","srb","Sra"
"caenorhabditis_elegans","Y57A10B.5","sre","Sra"
"caenorhabditis_elegans","F44F4.7","sra","Sra"
"caenorhabditis_elegans","T11A5.7a","srab","Sra"
"caenorhabditis_elegans","M02H5.9","srh","Str"
"panagrellus_redivivus","Pan_g21090.t1","srh","Str"
"caenorhabditis_elegans","C49G7.2","srh","Str"
"pristionchus_pacificus","PPA35176","sri","Str"
"caenorhabditis_elegans","F13G3.2","srd","Str"
"rhabditophanes_kr3021","RSKR_0000883850.1","four","Str"
"caenorhabditis_elegans","F47B8.12","srm","Str"
"ascaris_suum","AgR006_g152_t03","three_four","Str"
"rhabditophanes_kr3021","RSKR_0000464150.1","three_four","Str"
"pristionchus_pacificus","PPA42518","srj","Str"
"pristionchus_pacificus","PPA40659","srj","Str"
"pristionchus_pacificus","PPA04430","srj","Str"
"caenorhabditis_elegans","F48G7.1","srj","Str"
"caenorhabditis_elegans","ZC513.11","str","Str"
"ascaris_suum","AgB08X_g272_t01","srw","Solo"
"necator_americanus","NECAME_15849","srxa","Srg"
"panagrellus_redivivus","Pan_g13269.t1","srbc","Solo"
"trichinella_spiralis","EFV53410","srsx","Solo"
"brugia_malayi","Bm3372","sro","Solo"
"caenorhabditis_elegans","Y7A9C.9","srz","Solo"
"strongyloides_ratti","SRAE_2000043400","srv","Srg"
"strongyloides_ratti","SRAE_X000094550","srv","Srg"
"pristionchus_pacificus","PPA34592","srv","Srg"
"panagrellus_redivivus","Pan_g17615.t1","sru","Srg"
"caenorhabditis_elegans","W02F12.7","srg","Srg"
"caenorhabditis_elegans","F54E2.6","srt","Srg"
"caenorhabditis_elegans","T10H4.9","srx","Srg"
"haemonchus_contortus","HCON_00126075","srb","Sra"
"caenorhabditis_elegans","C50E10.10","sre","Sra"
"caenorhabditis_elegans","F44F4.13","sra","Sra"
"caenorhabditis_elegans","T20D4.2","srab","Sra"
"caenorhabditis_elegans","C31B8.11a","srh","Str"
"panagrellus_redivivus","Pan_g8280.t1","srh","Str"
"caenorhabditis_elegans","ZK228.5","srh","Str"
"pristionchus_pacificus","PPA41702","sri","Str"
"caenorhabditis_elegans","K02A2.7","srd","Str"
"caenorhabditis_elegans","F47B8.7","srm","Str"
"ascaris_suum","AgR006_g152_t02","three_four","Str"
"rhabditophanes_kr3021","RSKR_0000508760.1","three_four","Str"
"strongyloides_ratti","SRAE_X000010100","srj","Str"
"pristionchus_pacificus","PPA19728","srj","Str"
"pristionchus_pacificus","PPA19625","srj","Str"
"caenorhabditis_elegans","T07C12.1","srj","Str"
"caenorhabditis_elegans","C09H5.3","str","Str"
"ascaris_suum","AgB08X_g272_t02","srw","Solo"
"caenorhabditis_elegans","C06B3.13","srxa","Srg"
"caenorhabditis_elegans","F54B8.9","srbc","Solo"
"romanomermis_culicivorax","nRc.2.0.1.t36612","srsx","Solo"
"haemonchus_contortus","HCON_00005680","sro","Solo"
"caenorhabditis_elegans","K03D3.1","srz","Solo"
"haemonchus_contortus","HCON_00074040","srv","Srg"
"rhabditophanes_kr3021","RSKR_0000140200.1","srv","Srg"
"pristionchus_pacificus","PPA37898","srv","Srg"
"panagrellus_redivivus","Pan_g16598.t2","sru","Srg"
"caenorhabditis_elegans","ZC204.4a","srg","Srg"
"caenorhabditis_elegans","M02H5.2","srt","Srg"
"caenorhabditis_elegans","Y43B11AL.2b","srx","Srg"
"caenorhabditis_elegans","R05H5.6","srb","Sra"
"caenorhabditis_elegans","C50E10.9","sre","Sra"
"caenorhabditis_elegans","F49E12.5a","sra","Sra"
"caenorhabditis_elegans","C36C5.2a","srab","Sra"
"caenorhabditis_elegans","R11G11.9","srh","Str"
"panagrellus_redivivus","Pan_g13062.t1","srh","Str"
"caenorhabditis_elegans","ZK228.6","srh","Str"
"pristionchus_pacificus","PPA39828","sri","Str"
"caenorhabditis_elegans","K02A2.2","srd","Str"
"rhabditophanes_kr3021","RSKR_0000292500.1","srm","Str"
"toxocara_canis","Tcan_10704.1","three_four","Str"
"rhabditophanes_kr3021","RSKR_0000710675.1","three_four","Str"
"ascaris_suum","AgB05_g420_t01","srj","Str"
"pristionchus_pacificus","PPA30534","srj","Str"
